TOWN,ADDRESS,Times sold,Sold date,Sold price
Liverpool,INGLEBY ROAD 59 FLAT 1,2,7-28-2017,140000
Liverpool,INGLEBY ROAD 59 FLAT 1,2,7-28-2017,160000
Liverpool,JERSEY ROAD 16 ,2,5-31-2011,200000
Liverpool,JERSEY ROAD 16 ,2,2-13-2018,387500
Liverpool,KENSINGTON GARDENS 33B ,2,3-14-2014,175000
Liverpool,KENSINGTON GARDENS 33B ,2,2-10-2017,252500
Liverpool,KINGSTON ROAD 266 ,2,5-11-2009,212000
Liverpool,KINGSTON ROAD 266 ,2,3-23-2018,405000
Liverpool,LENNOX GARDENS 23 ,2,3-23-2009,285000
Liverpool,LENNOX GARDENS 23 ,2,7-10-2017,540000
Liverpool,LEY STREET 214A ,2,2-15-2016,195000
Liverpool,LEY STREET 214A ,2,10-13-2017,215000
Liverpool,LEY STREET 443 ,2,3-24-2016,334000
Liverpool,LEY STREET 443 ,2,8-23-2017,468000
Liverpool,MADRAS ROAD MADRAS HOUSE 7,3,6-5-2014,125000
Liverpool,MADRAS ROAD MADRAS HOUSE 7,3,3-30-2016,160000
Liverpool,MADRAS ROAD MADRAS HOUSE 7,3,4-28-2017,205000
Liverpool,MANSFIELD ROAD 51B ,2,7-15-2016,165000
Liverpool,MANSFIELD ROAD 51B ,2,3-31-2017,345000
Liverpool,MELBOURNE ROAD 16 ,2,2-28-2018,655000
Liverpool,MELBOURNE ROAD 16 ,2,3-29-2018,725000
Liverpool,MELFORD ROAD 4A ,2,3-5-2014,138000
Liverpool,MELFORD ROAD 4A ,2,4-21-2017,182000
Liverpool,MELFORD ROAD 8 ,2,2-26-2015,230000
Liverpool,MELFORD ROAD 8 ,2,7-30-2017,300000
Liverpool,MONTREAL ROAD 25A ,2,5-30-2008,145000
Liverpool,MONTREAL ROAD 25A ,2,1-6-2017,97201
Liverpool,MORTLAKE ROAD 264 ,2,5-21-2014,312000
Liverpool,MORTLAKE ROAD 264 ,2,7-3-2017,380000
Liverpool,MORTLAKE ROAD 326 ,2,2-20-2009,235000
Liverpool,MORTLAKE ROAD 326 ,2,5-31-2017,198000
Liverpool,NORMAN ROAD 73 ,2,8-8-2014,250000
Liverpool,NORMAN ROAD 73 ,2,8-7-2017,387000
Liverpool,NORTHBROOK ROAD 3 LOWER FLAT,2,2-22-2008,150000
